report_id,date,house,source_pdf,origin_schema,legacy_row,region,application,metric,fy,value,value_prev,unit,basis,source_page,review_reasons,decision_status,actual_metric,period_scope,decision_reason
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,96,유럽,EV,판매대수,2027,633,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,97,유럽,EV,판매대수,2028,733,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,98,유럽,EV,판매대수,2029,801,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,99,유럽,EV,판매대수,2030,864,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,100,유럽,EV,판매대수,2031,913,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,101,유럽,EV,판매대수,2032,986,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,102,유럽,EV,판매대수,2033,1064,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,103,유럽,EV,판매대수,2034,1125,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,104,유럽,EV,판매대수,2035,1170,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,105,북미,EV,판매대수,2023,160,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,106,북미,EV,판매대수,2024,205,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,107,북미,EV,판매대수,2025,230,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,108,북미,EV,판매대수,2026,329,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,109,북미,EV,판매대수,2027,404,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,110,북미,EV,판매대수,2028,497,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,111,북미,EV,판매대수,2029,598,,만대,,49,basis 누락,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,112,북미,EV,판매대수,2030,727,,만대,,49,basis 누락,,,,
