company,fy,period,segment,segment_std,metric,value,unit,ampc_basis,source_file,source_page
삼성SDI,2024,1Q,전사,전사,당기순이익,286.7,십억원,na,2025.1Q_IR_Final_K.pdf,3
삼성SDI,2024,1Q,전지,배터리합계,매출,4581.8,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2024,1Q,전지,배터리합계,영업이익,214.5,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2024,1Q,전자재료,전자재료,매출,234.4,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2024,1Q,전자재료,전자재료,영업이익,34.6,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2024,2Q,전사,전사,매출,4085.9,십억원,na,2025.2Q_IR_Final_Kr.pdf,3
삼성SDI,2024,2Q,전사,전사,영업이익,241.0,십억원,na,2025.2Q_IR_Final_Kr.pdf,3
삼성SDI,2024,2Q,전사,전사,세전이익,334.7,십억원,na,2025.2Q_IR_Final_Kr.pdf,3
삼성SDI,2024,2Q,전사,전사,당기순이익,301.2,십억원,na,2025.2Q_IR_Final_Kr.pdf,3
삼성SDI,2024,2Q,전지,배터리합계,매출,3872.9,십억원,na,2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2024,2Q,전지,배터리합계,영업이익,208.1,십억원,na,2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2024,2Q,전자재료,전자재료,매출,213.0,십억원,na,2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2024,2Q,전자재료,전자재료,영업이익,32.9,십억원,na,2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2024,3Q,전사,전사,매출,3935.7,십억원,na,2025.3Q_IR_Final_Kr.pdf,3
삼성SDI,2024,3Q,전사,전사,영업이익,129.9,십억원,na,2025.3Q_IR_Final_Kr.pdf,3
삼성SDI,2024,3Q,전사,전사,세전이익,266.5,십억원,na,2025.3Q_IR_Final_Kr.pdf,3
삼성SDI,2024,3Q,전사,전사,당기순이익,230.4,십억원,na,2025.3Q_IR_Final_Kr.pdf,3
삼성SDI,2024,3Q,전지,배터리합계,매출,3672.2,십억원,na,2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2024,3Q,전지,배터리합계,영업이익,63.5,십억원,na,2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2024,3Q,전자재료,전자재료,매출,263.5,십억원,na,2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2024,3Q,전자재료,전자재료,영업이익,66.4,십억원,na,2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2024,4Q,전사,전사,매출,3754.5,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2024,4Q,전사,전사,영업이익,-256.7,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2024,4Q,전사,전사,세전이익,-347.2,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2024,4Q,전사,전사,당기순이익,-242.7,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2024,4Q,전지,배터리합계,매출,3564.5,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2024,4Q,전지,배터리합계,영업이익,-268.3,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2024,4Q,전자재료,전자재료,매출,190.0,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2024,4Q,전자재료,전자재료,영업이익,11.6,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,1Q,전사,전사,매출,3176.8,십억원,na,2025.1Q_IR_Final_K.pdf,3
삼성SDI,2025,1Q,전사,전사,영업이익,-434.1,십억원,na,2025.1Q_IR_Final_K.pdf,3
삼성SDI,2025,1Q,전사,전사,세전이익,-357.1,십억원,na,2025.1Q_IR_Final_K.pdf,3
삼성SDI,2025,1Q,전사,전사,당기순이익,-216.0,십억원,na,2025.1Q_IR_Final_K.pdf,3
삼성SDI,2025,1Q,전지,배터리합계,매출,2980.9,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,1Q,전지,배터리합계,영업이익,-452.4,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,1Q,전자재료,전자재료,매출,195.9,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,1Q,전자재료,전자재료,영업이익,18.3,십억원,na,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,2Q,전사,전사,매출,3179.4,십억원,na,2025.2Q_IR_Final_Kr.pdf,3
삼성SDI,2025,2Q,전사,전사,영업이익,-397.8,십억원,na,2025.2Q_IR_Final_Kr.pdf,3
삼성SDI,2025,2Q,전사,전사,세전이익,-341.0,십억원,na,2025.2Q_IR_Final_Kr.pdf,3
삼성SDI,2025,2Q,전사,전사,당기순이익,-166.7,십억원,na,2025.2Q_IR_Final_Kr.pdf,3
삼성SDI,2025,2Q,전지,배터리합계,매출,2961.2,십억원,na,2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2025,2Q,전지,배터리합계,영업이익,-430.8,십억원,na,2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2025,2Q,전자재료,전자재료,매출,218.2,십억원,na,2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2025,2Q,전자재료,전자재료,영업이익,33.0,십억원,na,2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2025,3Q,전사,전사,매출,3051.8,십억원,na,2025.3Q_IR_Final_Kr.pdf,3
삼성SDI,2025,3Q,전사,전사,영업이익,-591.3,십억원,na,2025.3Q_IR_Final_Kr.pdf,3
삼성SDI,2025,3Q,전사,전사,세전이익,-429.6,십억원,na,2025.3Q_IR_Final_Kr.pdf,3
삼성SDI,2025,3Q,전사,전사,당기순이익,5.7,십억원,na,2025.3Q_IR_Final_Kr.pdf,3
삼성SDI,2025,3Q,전지,배터리합계,매출,2820.0,십억원,na,2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2025,3Q,전지,배터리합계,영업이익,-630.1,십억원,na,2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2025,3Q,전자재료,전자재료,매출,231.8,십억원,na,2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2025,3Q,전자재료,전자재료,영업이익,38.8,십억원,na,2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2025,4Q,전사,전사,매출,3858.7,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2025,4Q,전사,전사,영업이익,-299.2,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2025,4Q,전사,전사,세전이익,-236.4,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2025,4Q,전사,전사,당기순이익,-207.8,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2025,4Q,전지,배터리합계,매출,3622.0,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,4Q,전지,배터리합계,영업이익,-338.5,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,4Q,전자재료,전자재료,매출,236.7,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,4Q,전자재료,전자재료,영업이익,39.3,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2024,FY,전사,전사,매출,16592.2,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2024,FY,전사,전사,영업이익,363.3,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2024,FY,전사,전사,세전이익,527.3,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2024,FY,전사,전사,당기순이익,575.5,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2024,FY,전지,배터리합계,매출,15691.2,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2024,FY,전지,배터리합계,영업이익,217.7,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2024,FY,전자재료,전자재료,매출,901.0,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2024,FY,전자재료,전자재료,영업이익,145.6,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,FY,전사,전사,매출,13266.7,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2025,FY,전사,전사,영업이익,-1722.4,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2025,FY,전사,전사,세전이익,-1364.0,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2025,FY,전사,전사,당기순이익,-584.9,십억원,na,2025.4Q_IR_Final_Kr.pdf,3
삼성SDI,2025,FY,전지,배터리합계,매출,12384.1,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,FY,전지,배터리합계,영업이익,-1851.9,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,FY,전자재료,전자재료,매출,882.6,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,FY,전자재료,전자재료,영업이익,129.5,십억원,na,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2026,1Q,전사,전사,매출,3576.4,십억원,na,2026.1Q_IR_Final_Kr.pdf,3
삼성SDI,2026,1Q,전사,전사,영업이익,-155.6,십억원,na,2026.1Q_IR_Final_Kr.pdf,3
삼성SDI,2026,1Q,전사,전사,세전이익,-43.4,십억원,na,2026.1Q_IR_Final_Kr.pdf,3
삼성SDI,2026,1Q,전사,전사,당기순이익,56.1,십억원,na,2026.1Q_IR_Final_Kr.pdf,3
삼성SDI,2026,1Q,전지,배터리합계,매출,3354.4,십억원,na,2026.1Q_IR_Final_Kr.pdf,4
삼성SDI,2026,1Q,전지,배터리합계,영업이익,-176.6,십억원,na,2026.1Q_IR_Final_Kr.pdf,4
삼성SDI,2026,1Q,전자재료,전자재료,매출,222.0,십억원,na,2026.1Q_IR_Final_Kr.pdf,4
삼성SDI,2026,1Q,전자재료,전자재료,영업이익,21.0,십억원,na,2026.1Q_IR_Final_Kr.pdf,4
LGES,2026,2Q,전사,전사,매출,7560,십억원,incl,26_2Q_LGES_business_performance_F_KR.pdf,13
LGES,2026,2Q,전사,전사,영업이익,113,십억원,incl,26_2Q_LGES_business_performance_F_KR.pdf,13
LGES,2026,2Q,전사,전사,영업이익_AMPC제외,-128,십억원,excl,26_2Q_LGES_business_performance_F_KR.pdf,13
LGES,2026,2Q,전사,전사,EBITDA,1330,십억원,incl,26_2Q_LGES_business_performance_F_KR.pdf,13
LGES,2026,2Q,전사,전사,세전이익,-128,십억원,na,26_2Q_LGES_business_performance_F_KR.pdf,13
LGES,2026,2Q,전사,전사,당기순이익,-329,십억원,na,26_2Q_LGES_business_performance_F_KR.pdf,13
LGES,2026,2Q,전사,전사,AMPC,241,십억원,na,26_2Q_LGES_business_performance_F_KR.pdf,13
LGES,2026,2Q,전사,전사,CAPEX,-1041,십억원,na,26_2Q_LGES_business_performance_F_KR.pdf,7
삼성SDI,2026,2Q,전사,전사,매출,3768.8,십억원,na,2026.2Q_IR_Final_Kr.pdf,3
삼성SDI,2026,2Q,전사,전사,영업이익,203.8,십억원,incl,2026.2Q_IR_Final_Kr.pdf,3
삼성SDI,2026,2Q,전사,전사,세전이익,479.2,십억원,na,2026.2Q_IR_Final_Kr.pdf,3
삼성SDI,2026,2Q,전사,전사,당기순이익,471.6,십억원,na,2026.2Q_IR_Final_Kr.pdf,3
삼성SDI,2026,2Q,전사,전사,EBITDA,802.9,십억원,na,2026.2Q_IR_Final_Kr.pdf,3
삼성SDI,2026,2Q,배터리,배터리합계,매출,3519.0,십억원,na,2026.2Q_IR_Final_Kr.pdf,4
삼성SDI,2026,2Q,배터리,배터리합계,영업이익,159.3,십억원,incl,2026.2Q_IR_Final_Kr.pdf,4
삼성SDI,2026,2Q,전자재료,전자재료,매출,249.8,십억원,na,2026.2Q_IR_Final_Kr.pdf,4
삼성SDI,2026,2Q,전자재료,전자재료,영업이익,44.5,십억원,na,2026.2Q_IR_Final_Kr.pdf,4
