report_id,date,house,region,application,metric,fy,value,value_prev,unit,basis,source_page,series_class,series_label,scope_note
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2032,384,,GWh,주택용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2033,384,,GWh,주택용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2034,448,,GWh,주택용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2035,512,,GWh,주택용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2023,45,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2024,97,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2025,244,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2026,487,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2027,706,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2028,755,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2029,950,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2030,999,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2031,1218,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2032,1462,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2033,1462,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2034,1705,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2035,1949,,GWh,산업용 ESS 증분 수요,60,서브세그먼트,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2023,55,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2024,123,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2025,308,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2026,615,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2027,892,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2028,954,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2029,1200,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2030,1261,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2031,1538,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2032,1846,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2033,1846,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2034,2153,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2035,2461,,GWh,ESS 배터리 수요 합계(주택+산업),60,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2023,355,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2024,512,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2025,822,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2026,1335,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2027,1768,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2028,2031,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2029,2495,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2030,2753,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2031,3234,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2032,3803,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2033,4062,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2034,4637,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,합계,수요량,2035,5216,,GWh,EV+ESS 배터리 수요 합계(중국 제외),60,시장전체,,중국 제외
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2023,1370,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2024,1740,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2025,2070,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2026,2405,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2027,2755,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2028,3135,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2029,3515,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2030,3895,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2031,4275,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2032,4750,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,판매대수,2033,5225,,만대,중국 포함 글로벌 EV 출하량 전체,49,시장전체,,
