reclassification,decision_reason,house,coverage,report_date,report_title,source_group,source_file,source_ids,page,page_count,candidate_type,markets,applications,geographies,metrics,units,risk_flags,score,latest_reference_ids,unique_application_signals,selection_anchor_date,age_days,freshness
최신 유효,LS증권·SK온의 2026년 최신 EV 자료,LS증권,SK온,2026-07-31,2Q26 Review,inbox,LS증권_SK이노베이션_2Q26 Review_20260731.pdf,2026-07-31_LS증권_SK온,4,7,시장,EV,,글로벌,성장률|YoY,%|GWH,,13,2026-07-31_LS증권_SK온,,2026-07-31,0,최근 1년
최신 유효,LS증권·삼성SDI의 2026년 최신 ESS/EV 자료,LS증권,삼성SDI,2026-07-31,2Q26 Review,inbox,LS증권_삼성SDI_2Q26 Review_20260731.pdf,2026-07-31_LS증권_삼성SDI,1,9,시장,EV|ESS,UPS,글로벌,수요|용량,%,,13,2026-07-31_LS증권_삼성SDI,,2026-07-31,0,최근 1년
최신 유효,NH투자증권·삼성SDI의 2026년 최신 ESS/EV 자료,NH투자증권,삼성SDI,2026-03-23,적자폭 축소 기대,inbox,NH투자증권_삼성SDI_적자폭 축소 기대_20260323.pdf,2026-03-23_NH투자증권_삼성SDI,5,8,시장·회사,EV|ESS,,미국,판매량|출하량|용량|CAPA,%|GWH,,13,2026-03-23_NH투자증권_삼성SDI,,2026-07-31,130,최근 1년
최신 유효,SK증권·삼성SDI의 2026년 최신 ESS/EV 자료,SK증권,삼성SDI,2026-06-09,"저점은 지났다, 회복의 축은 ESS소형",inbox,"SK증권_삼성SDI_저점은 지났다, 회복의 축은 ESS소형_20260609.pdf",2026-06-09_SK증권_삼성SDI,1,7,시장·회사,EV|ESS,,미국|중국|한국,수요|캐파,%|GWH,,14,2026-06-09_SK증권_삼성SDI,,2026-07-31,52,최근 1년
최신 유효,iM증권·SK온의 2026년 최신 ESS 자료,iM증권,SK온,2026-05-14,국내 정유사들 중에서 차별화되는 포인트 2가지,inbox,iM증권_SK이노베이션_국내 정유사들 중에서 차별화되는 포인트 2가지_20260514.pdf,2026-05-14_iM증권_SK온,1,8,시장·회사,EV|ESS,데이터센터,북미|미국|유럽,판매량|설치량|수요,%|GWH,수주·계약,14,2026-05-14_iM증권_SK온|2026-07-31_iM증권_SK온,데이터센터,2026-07-31,78,최근 1년
최신 유효,iM증권·LGES의 2026년 최신 ESS/EV 자료,iM증권,LGES,2026-07-31,하반기에도 ESS 중심 실적 개선세 지속,inbox,iM증권_LG에너지솔루션_하반기에도 ESS 중심 실적 개선세 지속_20260731.pdf,2026-07-31_iM증권_LGES,1,6,시장,EV|ESS,데이터센터,미국|유럽|중국,생산량|생산능력|수요|YoY,%,,13,2026-07-31_iM증권_LGES,,2026-07-31,0,최근 1년
최신 유효,iM증권·LGES의 2026년 최신 ESS/EV 자료,iM증권,LGES,2026-07-31,하반기에도 ESS 중심 실적 개선세 지속,inbox,iM증권_LG에너지솔루션_하반기에도 ESS 중심 실적 개선세 지속_20260731.pdf,2026-07-31_iM증권_LGES,3,6,시장·회사,EV|ESS,데이터센터|UPS,미국|한국,출하량|수요|YoY|캐파,%|GWH,,14,2026-07-31_iM증권_LGES,,2026-07-31,0,최근 1년
최신 유효,iM증권·SK온의 2026년 최신 EV 자료,iM증권,SK온,2026-07-31,두 번의 전쟁으로 완전히 꼬여 버린 에너지 수급,inbox,iM증권_SK이노베이션_두 번의 전쟁으로 완전히 꼬여 버린 에너지 수급_20260731.pdf,2026-07-31_iM증권_SK온,1,8,시장,EV,,글로벌|미국|유럽|중국,생산량|수요,%,,13,2026-07-31_iM증권_SK온,,2026-07-31,0,최근 1년
최신 유효,iM증권·삼성SDI의 2026년 최신 ESS/EV 자료,iM증권,삼성SDI,2026-07-31,ESS로의 사업 전환 가속화 전망,inbox,iM증권_삼성SDI_ESS로의 사업 전환 가속화 전망_20260731.pdf,2026-07-31_iM증권_삼성SDI,1,6,시장,EV|ESS,,미국|유럽,출하량|수요|점유율|YoY,%,수주·계약,13,2026-07-31_iM증권_삼성SDI,,2026-07-31,0,최근 1년
최신 유효,iM증권·삼성SDI의 2026년 최신 ESS/EV 자료,iM증권,삼성SDI,2026-07-31,ESS로의 사업 전환 가속화 전망,inbox,iM증권_삼성SDI_ESS로의 사업 전환 가속화 전망_20260731.pdf,2026-07-31_iM증권_삼성SDI,3,6,시장·회사,ESS,데이터센터|UPS,미국|한국,출하량|수요|캐파,%|GWH,,14,2026-07-31_iM증권_삼성SDI,,2026-07-31,0,최근 1년
최신 유효,교보증권·삼성SDI의 2026년 최신 ESS/EV 자료,교보증권,삼성SDI,2026-03-30,1Q26 Preview 컨센서스 소폭 상회,inbox,교보증권_삼성SDI_1Q26 Preview 컨센서스 소폭 상회_20260330.pdf,2026-03-30_교보증권_삼성SDI,1,4,시장,EV|ESS,데이터센터,글로벌|유럽,수요|YoY,%,,13,2026-03-30_교보증권_삼성SDI,,2026-07-31,123,최근 1년
최신 유효,교보증권·LGES의 2026년 최신 ESS/EV 자료,교보증권,LGES,2026-05-04,1Q26 Review ESS 체질 전환 가속화,inbox,교보증권_LG에너지솔루션_1Q26 Review ESS 체질 전환 가속화_20260504.pdf,2026-05-04_교보증권_LGES,1,4,시장·회사,EV|ESS,,북미,수요|YoY|캐파,%|GWH,수주·계약,13,2026-05-04_교보증권_LGES,,2026-07-31,88,최근 1년
최신 유효,대신증권·LGES의 2026년 최신 ESS/EV 자료,대신증권,LGES,2026-05-06,꽉 차 있는 수주 창고,inbox,대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,2026-05-06_대신증권_LGES,1,8,시장·회사,EV|ESS,데이터센터,북미|미국,출하량|수요|캐파|CAPA,%|GWH,수주·계약,14,2026-05-06_대신증권_LGES,,2026-07-31,86,최근 1년
최신 유효,대신증권·LGES의 2026년 최신 ESS/EV 자료,대신증권,LGES,2026-05-06,꽉 차 있는 수주 창고,inbox,대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,2026-05-06_대신증권_LGES,4,8,시장·회사,EV|ESS,BESS,북미|미국,출하량|수요,%|GW|GWH,수주·계약,14,2026-05-06_대신증권_LGES,,2026-07-31,86,최근 1년
