source_group,source_file,source_ids,page_count,text_extracted_pages,candidate_pages,requires_ocr,error
inbox,"KB증권_SK이노베이션_국내 EV 판매 호조로, 배터리 판매량 +5~10% 추가 예상_20260618.pdf",2026-06-18_KB증권_SK온,12,12,6,N,
inbox,KB증권_SK이노베이션_정유. 사. 3Q도 증익 가능성. 배터리 재평가도 필요하다_20260731.pdf,2026-07-30_KB증권_SK온,10,10,2,N,
inbox,"KB증권_SK이노베이션_호르무즈 영향으로, 9개 사업부 모두 대폭 증익!_20260513.pdf",2026-05-13_KB증권_SK온,9,9,2,N,
inbox,"LS증권_LG에너지솔루션_1분기 잠정 실적 기대치 하회, 회계기준 변경_20260409.pdf",2026-04-09_LS증권_LGES,8,8,1,N,
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,18,18,8,N,
inbox,LS증권_LG에너지솔루션_낮아지는 눈높이_20260512.pdf,2026-05-12_LS증권_LGES,4,4,1,N,
inbox,LS증권_SK이노베이션_2Q26 Review_20260731.pdf,2026-07-31_LS증권_SK온,7,7,2,N,
inbox,LS증권_SK이노베이션_업데이트 노트_20260615.pdf,2026-06-15_LS증권_SK온,17,17,8,N,
inbox,"LS증권_SK이노베이션_파우치 Only 부메랑, WACC보다 낮은 ROIC_20260629.pdf",2026-06-29_LS증권_SK온,16,16,9,N,
inbox,LS증권_삼성SDI_2Q26 Review_20260731.pdf,2026-07-31_LS증권_삼성SDI,9,9,2,N,
inbox,"LS증권_삼성SDI_4월 EV향 data, 역성장 지속 우려_20260605.pdf",2026-06-05_LS증권_삼성SDI,14,14,10,N,
inbox,LS증권_삼성SDI_상대적으로 양호한 포지션 대비 높은 가격_20260512.pdf,2026-05-12_LS증권_삼성SDI,4,4,1,N,
inbox,NH투자증권_LG에너지솔루션_1Q26 실적 저점 확인_20260408.pdf,2026-04-08_NH투자증권_LGES,9,9,5,N,
inbox,NH투자증권_LG에너지솔루션_ESS 수주가 쏟아질 예정_20260528.pdf,2026-05-28_NH투자증권_LGES,2,2,1,N,
inbox,NH투자증권_LG에너지솔루션_명확한 회복세_20260731.pdf,2026-07-31_NH투자증권_LGES,10,10,7,N,
inbox,NH투자증권_LG에너지솔루션_점진적인 개선세_20260625.pdf,2026-06-25_NH투자증권_LGES,9,9,6,N,
inbox,NH투자증권_LG에너지솔루션_테슬라 유럽 판매 회복에 대비할 필요_20260323.pdf,2026-03-23_NH투자증권_LGES,9,9,5,N,
inbox,NH투자증권_LG에너지솔루션_하반기부터 질적 개선_20260504.pdf,2026-05-04_NH투자증권_LGES,9,9,6,N,
inbox,NH투자증권_삼성SDI_7분기만에 흑자전환 성공_20260731.pdf,2026-07-31_NH투자증권_삼성SDI,9,9,4,N,
inbox,NH투자증권_삼성SDI_릴레이 수주_20260625.pdf,2026-06-25_NH투자증권_삼성SDI,8,8,4,N,
inbox,NH투자증권_삼성SDI_적자폭 축소 기대_20260323.pdf,2026-03-23_NH투자증권_삼성SDI,8,8,2,N,
inbox,"SK증권_삼성SDI_저점은 지났다, 회복의 축은 ESS소형_20260609.pdf",2026-06-09_SK증권_삼성SDI,7,7,2,N,
inbox,"SK증권_전자장비와기기_K-배터리, 네 가지 위기와 미래 승부수_20250610.pdf",2025-06-10_SK증권_산업,64,63,12,N,
inbox,SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,2023-05-23_SK증권_산업,142,141,46,N,
inbox,SK증권_전자제품_[2026년 연간전망] ESS 배터리의 빛과 그림자_20251124.pdf,2025-11-24_SK증권_산업,25,25,14,N,
inbox,교보증권_LG에너지솔루션_1Q26 Preview 컨센서스 소폭 하회_20260330.pdf,2026-03-30_교보증권_LGES,4,4,2,N,
inbox,교보증권_LG에너지솔루션_1Q26 Review ESS 체질 전환 가속화_20260504.pdf,2026-05-04_교보증권_LGES,4,4,2,N,
inbox,교보증권_LG에너지솔루션_1Q26 잠정실적_20260408.pdf,2026-04-08_교보증권_LGES,2,2,1,N,
inbox,교보증권_삼성SDI_1Q26 Preview 컨센서스 소폭 상회_20260330.pdf,2026-03-30_교보증권_삼성SDI,4,4,2,N,
inbox,교보증권_삼성SDI_1Q26 Preview_20260408.pdf,2026-04-08_교보증권_삼성SDI,3,3,2,N,
inbox,다올투자증권_LG에너지솔루션_1Q26 Review 업황은 턴 했다_20260504.pdf,2026-05-04_다올투자증권_LGES,7,4,0,N,
inbox,다올투자증권_LG에너지솔루션_1Q26 잠정실적 발표 시작은 다소 아쉬운_20260408.pdf,2026-04-08_다올투자증권_LGES,2,1,0,N,
inbox,다올투자증권_LG에너지솔루션_2Q26 Preview 좋아지기 시작_20260618.pdf,2026-06-18_다올투자증권_LGES,6,4,0,N,
inbox,다올투자증권_LG에너지솔루션_2Q26 review 출발 준비_20260731.pdf,2026-07-31_다올투자증권_LGES,7,7,0,N,
inbox,"다올투자증권_LG에너지솔루션_ESS 모멘텀 지속, EV 방향성 점차 개선_20260325.pdf",2026-03-25_다올투자증권_LGES,6,4,0,N,
inbox,다올투자증권_전자장비와기기_AI가 쏘아올린 ESS 시장의 개화와 한국의 배터리_20251119.pdf,2025-11-19_다올투자증권_산업,45,45,23,N,
inbox,대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,2026-05-06_대신증권_LGES,8,8,4,N,
inbox,대신증권_삼성SDI_안정성에 성장성까지!_20260506.pdf,2026-05-06_대신증권_삼성SDI,8,8,3,N,
inbox,대신증권_삼성SDI_예상보다 빨라진 흑전_20260731.pdf,2026-07-31_대신증권_삼성SDI,5,5,2,N,
inbox,대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,2023-07-06_대신증권_산업,120,120,48,N,
inbox,메리츠증권_LG에너지솔루션_1Q26P 잠정실적 발표_20260408.pdf,2026-04-08_메리츠증권_LGES,3,3,2,N,
inbox,메리츠증권_LG에너지솔루션_경쟁력 확보 준비 과정_20260731.pdf,2026-07-31_메리츠증권_LGES,6,6,2,N,
inbox,메리츠증권_LG에너지솔루션_기회 요인_20260504.pdf,2026-05-04_메리츠증권_LGES,6,6,2,N,
inbox,메리츠증권_LG에너지솔루션_중대형 전지 부진은 고민거리_20260702.pdf,2026-07-02_메리츠증권_LGES,6,6,2,N,
inbox,메리츠증권_SK이노베이션_1Q26 Review 예상치 상회_20260514.pdf,2026-05-14_메리츠증권_SK온,6,6,1,N,
inbox,메리츠증권_SK이노베이션_투자의견 Buy 상향_20260731.pdf,2026-07-31_메리츠증권_SK온,8,8,0,N,
inbox,미래에셋증권_LG에너지솔루션_26년 ESS 추정치 추가 상향 조정_20260318.pdf,2026-03-18_미래에셋증권_LGES,5,3,0,N,
inbox,미래에셋증권_LG에너지솔루션_EV도 회복 국면 진입_20260731.pdf,2026-07-31_미래에셋증권_LGES,5,5,1,N,
inbox,미래에셋증권_LG에너지솔루션_각형 전환 본격화. 46 원통형 선두 주자_20260526.pdf,2026-05-26_미래에셋증권_LGES,3,3,1,N,
inbox,미래에셋증권_LG에너지솔루션_실적 바닥 통과 구간에 일어난 전쟁_20260504.pdf,2026-05-04_미래에셋증권_LGES,5,3,0,N,
inbox,미래에셋증권_삼성SDI_26년 영업 흑자 전환 예상_20260318.pdf,2026-03-18_미래에셋증권_삼성SDI,5,3,0,N,
inbox,"미래에셋증권_삼성SDI_2Q26, 7개 분기만의 영업흑자 전환 예상_20260626.pdf",2026-06-26_미래에셋증권_삼성SDI,5,4,0,N,
inbox,미래에셋증권_삼성SDI_바뀐 것이 하나도 없음_20260731.pdf,2026-07-31_미래에셋증권_삼성SDI,5,5,0,N,
inbox,"미래에셋증권_삼성SDI_자금력, 점유율 회복, 실적 회복의 3박자_20260526.pdf",2026-05-26_미래에셋증권_삼성SDI,3,3,1,N,
inbox,버핏연구소_삼성SDI_이차전지 최악 업황 지나고 ESS 쑥쑥_20260521.pdf,2026-05-21_버핏연구소_삼성SDI,9,9,5,N,
inbox,삼성증권_LG에너지솔루션_1Q26 잠정 실적 - 예상치 부합_20260408.pdf,2026-04-08_삼성증권_LGES,7,7,1,N,
inbox,삼성증권_LG에너지솔루션_1등은 로봇도 잘한다_20260311.pdf,2026-03-11_삼성증권_LGES,6,6,2,N,
inbox,삼성증권_LG에너지솔루션_2H26 Outlook - 대규모 ESS 수주 본격화_20260617.pdf,2026-06-17_삼성증권_LGES,7,7,1,N,
inbox,삼성증권_LG에너지솔루션_2Q26 review - ESS 성장통에도 이익 개선세 유효_20260730.pdf,2026-07-30_삼성증권_LGES,9,9,2,N,
inbox,삼성증권_삼성SDI_관세 환입 영향 2분기 조기 흑자 전환_20260731.pdf,2026-07-31_삼성증권_삼성SDI,6,6,1,N,
inbox,삼성증권_삼성SDI_연간 턴어라운드 기대 유효_20260311.pdf,2026-03-11_삼성증권_삼성SDI,4,4,2,N,
inbox,삼성증권_삼성SDI_예상보다 빠른 3분기 흑자 전환 기대_20260611.pdf,2026-06-11_삼성증권_삼성SDI,6,6,1,N,
inbox,"삼성증권_자동차_Beyond Chasm 로봇의 심장, 배터리_20250321.pdf",2025-03-21_삼성증권_산업,79,79,17,N,
inbox,삼성증권_전자장비와기기_2차전지 산업 분석 11편 - AI 데이터센터와 배터리_20251023.pdf,2025-10-23_삼성증권_산업,39,39,13,N,
inbox,"상상인증권_SK이노베이션_배터리사업 부진, 그러나 개선 준비 중_20260129.pdf",2026-01-29_상상인증권_SK온,4,4,1,N,
inbox,"상상인증권_삼성SDI_1Q26 Preview - 북미거점 ESS 생산, 하반기 흑자전환 기대_20260401.pdf",2026-04-01_상상인증권_삼성SDI,5,5,1,N,
inbox,상상인증권_삼성SDI_xEV 와 ESS 향 매출 동반성장을 기대_20260508.pdf,2026-05-08_상상인증권_삼성SDI,5,5,1,N,
inbox,"상상인증권_삼성SDI_북미ESS 성장 반영, 중장기 이익전망 상향_20260407.pdf",2026-04-07_상상인증권_삼성SDI,6,6,2,N,
inbox,상상인증권_자동차_2025년 연간 전망 완성차와 배터리에 기대할 수 있는 것_20241021.pdf,2024-10-21_상상인증권_산업,74,70,29,N,
inbox,신영증권_LG에너지솔루션_1분기 잠정 실적 코멘트_20260408.pdf,2026-04-08_신영증권_LGES,2,2,1,N,
inbox,신영증권_LG에너지솔루션_2분기부터 재차 증익 구간 진입_20260504.pdf,2026-05-04_신영증권_LGES,6,6,3,N,
inbox,신영증권_LG에너지솔루션_단기 눈높이는 낮춰도 방향성은 불변_20260731.pdf,2026-07-31_신영증권_LGES,5,5,3,N,
inbox,"신영증권_LG에너지솔루션_하방은 제한적, ESS가 이끄는 2026년_20260331.pdf",2026-03-31_신영증권_LGES,5,5,3,N,
inbox,신영증권_SK이노베이션_모두 다 좋아지고 있다_20260731.pdf,2026-07-31_신영증권_SK온,5,5,1,N,
inbox,신영증권_삼성SDI_더 큰 서프라이즈_20260731.pdf,2026-07-31_신영증권_삼성SDI,6,6,1,N,
inbox,신영증권_삼성SDI_황화물계 전고체 전지 시장 선점 효과 기대_20260325.pdf,2026-03-25_신영증권_삼성SDI,3,3,1,N,
inbox,신한투자증권_LG에너지솔루션_1분기가 저점_20260504.pdf,2026-05-04_신한투자증권_LGES,7,7,2,N,
inbox,신한투자증권_LG에너지솔루션_LG에너지솔루션 1Q26 잠정실적 발표_20260408.pdf,2026-04-08_신한투자증권_LGES,2,2,1,N,
inbox,신한투자증권_LG에너지솔루션_늦어진 만큼 선명해진 회복_20260731.pdf,2026-07-31_신한투자증권_LGES,7,7,2,N,
inbox,신한투자증권_LG에너지솔루션_우려보다 기대를_20260402.pdf,2026-04-02_신한투자증권_LGES,7,7,2,N,
inbox,신한투자증권_SK이노베이션_높아진 이익 체력_20260731.pdf,2026-07-31_신한투자증권_SK온,7,7,0,N,
inbox,신한투자증권_SK이노베이션_예견된 정유 호실적_20260514.pdf,2026-05-14_신한투자증권_SK온,7,7,1,N,
inbox,"신한투자증권_삼성SDI_흑자전환, 다음은 본업_20260731.pdf",2026-07-31_신한투자증권_삼성SDI,7,7,3,N,
inbox,유안타증권_LG에너지솔루션_미국 ESS 현지화의 최대 수혜_20260624.pdf,2026-06-24_유안타증권_LGES,3,3,2,N,
inbox,유안타증권_LG에너지솔루션_불확실성 해소된 현 시점 투자매력도 높음_20260506.pdf,2026-05-06_유안타증권_LGES,3,3,2,N,
inbox,유안타증권_LG에너지솔루션_영업이익 기준 컨센서스 하회 실적 기록_20260409.pdf,2026-04-09_유안타증권_LGES,3,3,2,N,
inbox,유안타증권_SK이노베이션_국민 에너지 기업으로 재평가 되어야…_20260522.pdf,2026-05-22_유안타증권_SK온,8,8,5,N,
inbox,유안타증권_삼성SDI_ESS 전 라인업 중심으로 외형성장 지속_20260624.pdf,2026-06-24_유안타증권_삼성SDI,3,3,2,N,
inbox,"유안타증권_삼성SDI_남아있는 모멘텀, 올해 셀 Top Pick 유지_20260506.pdf",2026-05-06_유안타증권_삼성SDI,4,4,1,N,
inbox,유안타증권_삼성SDI_하반기 흑전 + ESS 중심 수주 확대 기대_20260402.pdf,2026-04-02_유안타증권_삼성SDI,3,3,2,N,
inbox,유안타증권_전자장비와기기_파고들다 II. 46시리즈와 전고체 배터리_20250402.pdf,2025-04-02_유안타증권_산업,60,60,6,N,
