source_group,source_file,source_ids,page,page_count,legacy_covered,priority,selection_reason,candidate_type,markets,companies,ownership_signals,applications,geographies,metrics,company_metrics,units,risk_flags,score,visual_review_status
inbox,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,2024-02-26_IBK투자증권_산업,4,116,N,P1,정량키워드,시장·회사,EV,LG에너지솔루션,JV,,북미,판매량|생산량|생산능력|수요|침투율|CAPA,판매량|생산량|생산능력|CAPA,%|GWH,,14,대기
inbox,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,2024-02-26_IBK투자증권_산업,82,116,N,P1,정량키워드,시장·회사,EV,LG에너지솔루션,JV,,북미|유럽,출하량|수요|YoY|CAPA,출하량|CAPA,%|GWH,,14,대기
inbox,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,2024-02-26_IBK투자증권_산업,87,116,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,,북미|유럽,생산능력|수요|YoY|CAPA,생산능력|CAPA,%|GWH,,14,대기
inbox,KB증권_LG에너지솔루션_2026년 미국 사업 ESS가 EV 미국 출하량 뛰어넘을 것_20260226.pdf,2026-02-26_KB증권_LGES,1,9,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,,데이터센터|Grid/Utility|UPS,미국|중국,출하량|생산능력|설치량|수요|성장률|YoY,출하량|생산능력,%|GWH,,14,채택
inbox,KB증권_LG에너지솔루션_2026년 미국 사업 ESS가 EV 미국 출하량 뛰어넘을 것_20260226.pdf,2026-02-26_KB증권_LGES,3,9,N,P1,정량키워드,시장,ESS,LG에너지솔루션,,데이터센터|Grid/Utility,미국,설치량|수요|YoY,,%|GW|GWH|MW|MWH,,14,대기
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,7,18,N,P1,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL|BYD|CALB,,상업·산업용(C&I),글로벌|미국|중국|한국,점유율|성장률,,%|GWH,,14,채택
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,9,18,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션|CATL|Panasonic|Tesla,,데이터센터,글로벌|미국|중국|한국,출하량|수요,출하량,%|GWH,수주·계약,14,채택
inbox,NH투자증권_삼성SDI_릴레이 수주_20260625.pdf,2026-06-25_NH투자증권_삼성SDI,1,8,N,P3,정량키워드,시장,EV|ESS,삼성SDI,,데이터센터,미국|유럽|한국,점유율|성장률,,%|GW|GWH,수주·계약,14,대기
inbox,"SK증권_삼성SDI_저점은 지났다, 회복의 축은 ESS소형_20260609.pdf",2026-06-09_SK증권_삼성SDI,1,7,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,,미국|중국|한국,수요|캐파,캐파,%|GWH,,14,대기
inbox,SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,2023-05-23_SK증권_산업,61,142,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|삼성SDI|SK온,JV,,글로벌|미국|유럽|중국|한국,출하량|수요|용량|침투율|캐파,출하량|캐파,%|GWH,수주·계약,14,대기
inbox,SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,2023-05-23_SK증권_산업,69,142,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,글로벌|미국|중국,생산능력|수요|YoY|CAPA,생산능력|CAPA,%|GWH,,14,대기
inbox,iM증권_LG에너지솔루션_ESS의 가파른 성장세 본격화_20260630.pdf,2026-06-30_iM증권_LGES,1,7,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,,데이터센터|Grid/Utility,미국|유럽|중국,출하량|생산량|수요|용량|YoY,출하량|생산량,%|GWH,수주·계약,14,대기
inbox,iM증권_LG에너지솔루션_ESS의 가파른 성장세 본격화_20260630.pdf,2026-06-30_iM증권_LGES,3,7,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|삼성SDI|SK온,,데이터센터|UPS,미국|한국,출하량|수요|YoY|캐파,출하량|캐파,%|GWH,,14,대기
inbox,iM증권_LG에너지솔루션_하반기에도 ESS 중심 실적 개선세 지속_20260731.pdf,2026-07-31_iM증권_LGES,3,6,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|삼성SDI|SK온,,데이터센터|UPS,미국|한국,출하량|수요|YoY|캐파,출하량|캐파,%|GWH,,14,채택
inbox,iM증권_SK이노베이션_국내 정유사들 중에서 차별화되는 포인트 2가지_20260514.pdf,2026-05-14_iM증권_SK온,1,8,N,P1,정량키워드,시장·회사,EV|ESS,SK온,,데이터센터,북미|미국|유럽,판매량|설치량|수요,판매량,%|GWH,수주·계약,14,대기
inbox,iM증권_SK이노베이션_전 사업부에서 누리는 고유가 + ESS 확대 기회_20260511.pdf,2026-05-11_iM증권_SK온,1,9,N,P3,정량키워드,시장,EV|ESS,SK온,JV,,미국|중국,설치량|수요,,%|GWH,수주·계약,14,대기
inbox,iM증권_삼성SDI_AIDC향 ESS의 중장기적인 성장성 확보_20260511.pdf,2026-05-11_iM증권_삼성SDI,1,6,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,,데이터센터|Grid/Utility,미국|유럽|중국,출하량|수요|용량|점유율|YoY,출하량,%|GWH,,14,채택
inbox,iM증권_삼성SDI_ESS로의 사업 전환 가속화 전망_20260731.pdf,2026-07-31_iM증권_삼성SDI,3,6,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션|삼성SDI|SK온,,데이터센터|UPS,미국|한국,출하량|수요|캐파,출하량|캐파,%|GWH,,14,대기
inbox,"iM증권_삼성SDI_밸류에이션 부담 완화, 비중 확대 시점_20260630.pdf",2026-06-30_iM증권_삼성SDI,1,6,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,,데이터센터|Grid/Utility,미국|유럽|중국,출하량|수요|용량|점유율|YoY,출하량,%|GWH,수주·계약,14,대기
inbox,"iM증권_삼성SDI_밸류에이션 부담 완화, 비중 확대 시점_20260630.pdf",2026-06-30_iM증권_삼성SDI,3,6,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션|삼성SDI|SK온,,데이터센터|UPS,미국|한국,출하량|수요|캐파,출하량|캐파,%|GWH,,14,대기
inbox,다올투자증권_전자장비와기기_AI가 쏘아올린 ESS 시장의 개화와 한국의 배터리_20251119.pdf,2025-11-19_다올투자증권_산업,3,45,N,P1,정량키워드,시장,EV|ESS,LG에너지솔루션|삼성SDI,,데이터센터,미국|유럽|중국|한국,수요|용량,,%|GW|GWH,,14,대기
inbox,다올투자증권_전자장비와기기_AI가 쏘아올린 ESS 시장의 개화와 한국의 배터리_20251119.pdf,2025-11-19_다올투자증권_산업,4,45,N,P1,정량키워드,시장·회사,ESS,Tesla,,데이터센터,미국|유럽,생산량|수요|용량,생산량,%|GW|GWH|MWH|TWH,,14,대기
inbox,다올투자증권_전자장비와기기_AI가 쏘아올린 ESS 시장의 개화와 한국의 배터리_20251119.pdf,2025-11-19_다올투자증권_산업,11,45,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션|Tesla,,데이터센터|Grid/Utility,글로벌|미국|유럽,생산능력|설치량|수요,생산능력,%|GWH|MWH|TWH|대,수주·계약,14,대기
inbox,다올투자증권_전자장비와기기_AI가 쏘아올린 ESS 시장의 개화와 한국의 배터리_20251119.pdf,2025-11-19_다올투자증권_산업,25,45,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|CATL|Tesla,JV,,글로벌|미국|유럽|중국,판매량|생산능력|수요,판매량|생산능력,%|GWH|대,,14,대기
inbox,대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,2026-05-06_대신증권_LGES,1,8,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,,데이터센터,북미|미국,출하량|수요|캐파|CAPA,출하량|캐파|CAPA,%|GWH,수주·계약,14,채택
inbox,대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,2026-05-06_대신증권_LGES,4,8,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|삼성SDI|SK온,,BESS,북미|미국,출하량|수요,출하량,%|GW|GWH,수주·계약,14,채택
inbox,대신증권_삼성SDI_예상보다 빨라진 흑전_20260731.pdf,2026-07-31_대신증권_삼성SDI,1,5,N,P3,정량키워드,시장,EV|ESS,삼성SDI,JV,UPS,북미|미국|유럽,수요|YoY,,%,수주·계약,14,대기
inbox,메리츠증권_LG에너지솔루션_경쟁력 확보 준비 과정_20260731.pdf,2026-07-31_메리츠증권_LGES,1,6,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,북미|미국|유럽|중국,출하량|생산량,출하량|생산량,%|GWH,수주·계약,14,대기
inbox,삼성증권_LG에너지솔루션_1Q26 잠정 실적 - 예상치 부합_20260408.pdf,2026-04-08_삼성증권_LGES,1,7,N,P3,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL,JV,,북미|미국,수요|점유율,,%|GWH,수주·계약,14,대기
inbox,삼성증권_LG에너지솔루션_2Q26 review - ESS 성장통에도 이익 개선세 유효_20260730.pdf,2026-07-30_삼성증권_LGES,2,9,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,북미|미국|한국,판매량|출하량,판매량|출하량,%|GWH,,14,대기
inbox,"삼성증권_자동차_Beyond Chasm 로봇의 심장, 배터리_20250321.pdf",2025-03-21_삼성증권_산업,2,79,N,P1,정량키워드,시장,EV,Tesla,,데이터센터,글로벌|미국|중국|한국,수요|용량,,%|GWH|만대,,14,대기
inbox,삼성증권_전자장비와기기_2차전지 산업 분석 11편 - AI 데이터센터와 배터리_20251023.pdf,2025-10-23_삼성증권_산업,1,39,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|삼성SDI,,데이터센터|UPS,글로벌|북미|미국|중국|한국,수요|점유율|캐파,캐파,%|GWH,,14,채택
inbox,삼성증권_전자장비와기기_2차전지 산업 분석 11편 - AI 데이터센터와 배터리_20251023.pdf,2025-10-23_삼성증권_산업,14,39,N,P1,정량키워드,시장,ESS,LG에너지솔루션|삼성SDI|CATL,,데이터센터|Grid/Utility|UPS,한국,수요|용량,,%|GW|MW|MWH,,14,대기
inbox,삼성증권_전자장비와기기_2차전지 산업 분석 11편 - AI 데이터센터와 배터리_20251023.pdf,2025-10-23_삼성증권_산업,34,39,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,,글로벌|북미|한국,수요|용량|캐파,캐파,%|GWH,,14,대기
inbox,"상상인증권_삼성SDI_1Q26 Preview - 북미거점 ESS 생산, 하반기 흑자전환 기대_20260401.pdf",2026-04-01_상상인증권_삼성SDI,1,5,N,P3,정량키워드,시장,EV|ESS,삼성SDI,,데이터센터,북미|유럽,침투율|YoY,,%|GWH,수주·계약,14,대기
inbox,"상상인증권_삼성SDI_북미ESS 성장 반영, 중장기 이익전망 상향_20260407.pdf",2026-04-07_상상인증권_삼성SDI,1,6,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,,북미|미국|중국,출하량|생산능력|수요|YoY,출하량|생산능력,%|GWH,,14,대기
inbox,상상인증권_자동차_2025년 연간 전망 완성차와 배터리에 기대할 수 있는 것_20241021.pdf,2024-10-21_상상인증권_산업,62,74,N,P1,정량키워드,시장,EV|ESS,삼성SDI,JV,,북미|유럽,판매대수|성장률|YoY,,%|GWH,,14,대기
inbox,신영증권_LG에너지솔루션_2분기부터 재차 증익 구간 진입_20260504.pdf,2026-05-04_신영증권_LGES,1,6,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,북미|미국|유럽,판매량|CAPA,판매량|CAPA,%|GWH,,14,대기
inbox,신영증권_LG에너지솔루션_단기 눈높이는 낮춰도 방향성은 불변_20260731.pdf,2026-07-31_신영증권_LGES,1,5,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,북미|유럽,판매량|CAPA,판매량|CAPA,%|GWH,,14,대기
inbox,신한투자증권_LG에너지솔루션_1분기가 저점_20260504.pdf,2026-05-04_신한투자증권_LGES,1,7,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,북미|미국|유럽,판매량|출하량|생산능력|설치량,판매량|출하량|생산능력,%|GWH,수주·계약,14,대기
inbox,신한투자증권_LG에너지솔루션_LG에너지솔루션 1Q26 잠정실적 발표_20260408.pdf,2026-04-08_신한투자증권_LGES,1,2,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,북미,출하량|생산능력|수요|YoY,출하량|생산능력,%|GWH,,14,대기
inbox,신한투자증권_LG에너지솔루션_우려보다 기대를_20260402.pdf,2026-04-02_신한투자증권_LGES,1,7,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,북미|미국|유럽,판매량|출하량|생산능력|수요|점유율|CAPA,판매량|출하량|생산능력|CAPA,%|GWH,,14,대기
inbox,유진투자증권_LG에너지솔루션_ESS + 4680이 견인하는 실적_20260506.pdf,2026-05-06_유진투자증권_LGES,1,11,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,북미|유럽,출하량|수요|YoY|캐파,출하량|캐파,%|GWH,수주·계약,14,대기
inbox,유진투자증권_LG에너지솔루션_ESS가 이끄는 외형 성장_20260731.pdf,2026-07-31_유진투자증권_LGES,1,12,N,P1,정량키워드,시장,EV|ESS,LG에너지솔루션|Tesla,JV,데이터센터|Grid/Utility|UPS,북미|유럽|중국,출하량|생산능력|수요|YoY|CAPA,출하량|생산능력|CAPA,%,수주·계약,14,대기
inbox,유진투자증권_SK이노베이션_풀가동으로 전략 전환_20260514.pdf,2026-05-14_유진투자증권_SK온,1,8,N,P1,정량키워드,시장·회사,EV,,JV,,글로벌|북미|유럽,판매량|YoY,판매량,%|GW|만대,,14,대기
inbox,유진투자증권_전자장비와기기_배터리 2024 OUTLOOK TREND SETTER_20231121.pdf,2023-11-21_유진투자증권_산업,59,71,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|BYD,JV,상업·산업용(C&I),북미|미국|유럽|중국|한국,CAPA,CAPA,%|GWH|만대,,14,대기
inbox,"키움증권_LG에너지솔루션_1Q26 잠정 실적 리뷰 컨센서스 대비 매출은 상회, 영업이익은 하회_20260408.pdf",2026-04-08_키움증권_LGES,1,3,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,북미|미국|유럽|중국,판매량|출하량|수요|점유율|YoY|CAPA,판매량|출하량|CAPA,%|GWH|대,수주·계약,14,대기
inbox,키움증권_LG에너지솔루션_북미 ESS CAPA 역량에 주목할 필요_20260504.pdf,2026-05-04_키움증권_LGES,1,7,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,북미|유럽|중국,판매량|YoY|CAPA,판매량|CAPA,%|GWH,수주·계약,14,대기
inbox,키움증권_LG에너지솔루션_북미 ESS CAPA 역량에 주목할 필요_20260504.pdf,2026-05-04_키움증권_LGES,3,7,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션,JV,,미국,판매량|출하량|CAPA,판매량|출하량|CAPA,%|GWH,,14,대기
inbox,"키움증권_LG에너지솔루션_중장기 성장성 확인, 다만 단기 ESS 수익성 우려_20260731.pdf",2026-07-31_키움증권_LGES,1,8,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|CATL|Tesla,JV,,북미|유럽|중국,판매량|출하량|수요|YoY|캐파,판매량|출하량|캐파,%|GWH,수주·계약,14,대기
inbox,키움증권_LG에너지솔루션_휴머노이드 배터리 공급 확대_20260324.pdf,2026-03-24_키움증권_LGES,3,4,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션,JV,,미국,판매량|출하량|CAPA,판매량|출하량|CAPA,%|GWH,,14,대기
inbox,"하나증권_전자장비와기기_Weekly 이배속  ESS 성장 지속, 기대감 없는 EV의 반등_20260406.pdf",2026-04-06_하나증권_산업,6,29,N,P1,정량키워드,시장,EV|ESS,LG에너지솔루션|SK온|BYD|CALB|Tesla,JV,,글로벌|미국|유럽|중국,판매대수|설치량|수요|YoY,,%|GWH|만대,,14,대기
inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,6,30,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|삼성SDI|CATL|Tesla,,데이터센터,북미|미국|유럽|중국|한국,판매대수|생산능력|수요|YoY,생산능력,%|GWH|대|만대,수주·계약,14,보류
inbox,한화투자증권_LG에너지솔루션_1Q26 잠정실적 코멘트 - EV 부진을 ESS로 빠르게 메우는 중_20260408.pdf,2026-04-08_한화투자증권_LGES,1,4,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,글로벌|미국|유럽|중국,출하량|수요,출하량,%|GWH,,14,대기
inbox,"한화투자증권_삼성SDI_EV 공백 메우는 ESS, IAA 수혜로 더해지는 기대감_20260324.pdf",2026-03-24_한화투자증권_삼성SDI,1,3,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,,미국|유럽|중국,출하량|수요|점유율|CAPA,출하량|CAPA,%|GWH,,14,대기
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,6,46,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,글로벌|북미|유럽|중국,YoY|CAPA,CAPA,%|GWH,,14,대기
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,9,46,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,,글로벌|북미|유럽|중국,수요|YoY|CAPA,CAPA,%|GWH,,14,대기
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,33,46,N,P1,정량키워드,시장,EV|ESS,삼성SDI,JV,데이터센터|UPS,북미|미국|유럽|중국,수요|YoY|캐파,캐파,%,수주·계약,14,대기
actuals,25_1Q_Script.pdf,,4,17,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,Grid/Utility,글로벌|북미|미국|유럽,수요|캐파,캐파,GWH,수주·계약,13,보류
actuals,25_4Q_LGES_business_performance_F_KR.pdf,LGES,5,17,N,P1,정량키워드,시장·회사,EV|ESS,,JV,,북미|중국,CAPA,CAPA,%|GWH,수주·계약,13,대기
actuals,25_4Q_Script.pdf,,6,18,N,P1,정량키워드,시장·회사,EV|ESS,,JV,Grid/Utility|UPS,글로벌|북미|유럽|중국,수요|CAPA,CAPA,GWH,수주·계약,13,대기
