source_group,source_file,source_ids,page,page_count,legacy_covered,priority,selection_reason,candidate_type,markets,companies,ownership_signals,applications,geographies,metrics,company_metrics,units,risk_flags,score,visual_review_status
inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,18,101,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션|삼성SDI|SK온,JV,BESS,미국|중국|한국,생산능력,생산능력,GWH,수주·계약,13,채택
inbox,유진투자증권_전자장비와기기_배터리 2024 OUTLOOK TREND SETTER_20231121.pdf,2023-11-21_유진투자증권_산업,62,71,N,P1,정량키워드,시장·회사,EV,SK온,,,중국|한국,생산량|YoY,생산량,%|GWH,수주·계약,13,대기
inbox,키움증권_LG에너지솔루션_휴머노이드 배터리 공급 확대_20260324.pdf,2026-03-24_키움증권_LGES,1,4,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,,,글로벌|북미,수요|점유율|YoY|CAPA,CAPA,%|GWH,수주·계약,13,대기
inbox,"키움증권_삼성SDI_분기 흑자전환 달성, 실적 개선 속도는 점검 필요_20260731.pdf",2026-07-31_키움증권_삼성SDI,1,8,N,P1,정량키워드,시장,EV|ESS,삼성SDI|CATL,,UPS,미국|유럽,판매량|출하량|수요|점유율|YoY,판매량|출하량,%,수주·계약,13,대기
inbox,키움증권_삼성SDI_실적은 최악의 구간을 지나가는 시점_20260528.pdf,2026-05-28_키움증권_삼성SDI,1,4,N,P1,정량키워드,시장,EV|ESS,삼성SDI,,UPS,미국|유럽,판매량|출하량|점유율|YoY|CAPA,판매량|출하량|CAPA,%,수주·계약,13,대기
inbox,키움증권_삼성SDI_전고체 전지 모멘텀 기대_20260324.pdf,2026-03-24_키움증권_삼성SDI,1,4,N,P3,정량키워드,시장,EV|ESS,삼성SDI,,UPS,북미,수요|YoY,,%,수주·계약,13,대기
inbox,하나증권_LG에너지솔루션_EV 부진 지속_20260408.pdf,2026-04-08_하나증권_LGES,1,4,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,,,북미|미국,출하량|수요|용량|YoY|CAPA,출하량|CAPA,%|GWH|만대,,13,대기
inbox,하나증권_LG에너지솔루션_주가 하방 압력 제한적_20260504.pdf,2026-05-04_하나증권_LGES,1,4,N,P1,정량키워드,시장,EV|ESS,LG에너지솔루션|Tesla,JV,,북미|미국,생산량|YoY|CAPA,생산량|CAPA,%,수주·계약,13,대기
inbox,하나증권_LG에너지솔루션_하반기 강한 증익 모멘텀_20260731.pdf,2026-07-31_하나증권_LGES,1,4,N,P1,정량키워드,시장,EV|ESS,LG에너지솔루션|Tesla,JV,,북미|미국|유럽,출하량|생산량|YoY,출하량|생산량,%,,13,대기
inbox,하나증권_SK이노베이션_단기 실적 변동성 vs. 중장기 호황_20260514.pdf,2026-05-14_하나증권_SK온,1,5,N,P1,정량키워드,시장·회사,EV|ESS,SK온,,,북미|미국|유럽|한국,판매량|YoY,판매량,%|GWH,수주·계약,13,대기
inbox,하나증권_SK이노베이션_더 이상 정유 Up-Cycle에서 소외되지 않는다_20260223.pdf,2026-02-23_하나증권_SK온,1,5,N,P1,정량키워드,시장,EV,SK온,JV,,글로벌|북미|미국|유럽|한국,수요,,%|GW,,13,대기
inbox,"하나증권_전자장비와기기_Weekly 이배속  ESS 성장 지속, 기대감 없는 EV의 반등_20260406.pdf",2026-04-06_하나증권_산업,1,29,N,P1,정량키워드,시장,EV|ESS,LG에너지솔루션|삼성SDI|Tesla,,,글로벌|미국|유럽,설치량|수요|YoY,,%|만대,,13,대기
inbox,"하나증권_전자장비와기기_Weekly 이배속  ESS 성장 지속, 기대감 없는 EV의 반등_20260406.pdf",2026-04-06_하나증권_산업,2,29,N,P1,정량키워드,시장,EV|ESS,삼성SDI|SK온|BYD|Tesla,,,글로벌|미국|유럽|중국,판매대수|설치량|수요|YoY,,%|GWH|만대,,13,대기
inbox,하나증권_전자장비와기기_배터리 징비록_20250516.pdf,2025-05-16_하나증권_산업,15,57,N,P1,정량키워드,시장,EV,LG에너지솔루션|SK온,,,글로벌|미국|유럽,판매대수|생산능력|수요,생산능력,%|만대,,13,대기
inbox,하나증권_전자장비와기기_배터리 징비록_20250516.pdf,2025-05-16_하나증권_산업,25,57,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,,,북미|미국|유럽|중국|한국,수요|침투율|점유율|CAPA,CAPA,%|GWH,,13,채택
inbox,하나증권_전자장비와기기_배터리 징비록_20250516.pdf,2025-05-16_하나증권_산업,35,57,N,P1,정량키워드,시장,EV,LG에너지솔루션,,,글로벌|미국|유럽|중국|한국,수요|침투율|점유율,,%|GWH,,13,대기
inbox,하나증권_전자장비와기기_배터리 징비록_20250516.pdf,2025-05-16_하나증권_산업,39,57,N,P1,정량키워드,시장,EV,삼성SDI,,,글로벌|미국|유럽|중국|한국,수요|침투율|점유율,,%|GWH,,13,대기
inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,3,30,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션|삼성SDI|SK온|CATL|Tesla,,,북미|유럽|중국|한국,생산능력|YoY,생산능력,%|GWH|MWH,수주·계약,13,보류
inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,13,30,N,P1,정량키워드,시장,EV,Tesla,,,미국,판매량|판매대수|침투율|YoY,판매량,%|대|만대,,13,보류
inbox,"한화투자증권_LG에너지솔루션_ESS의 가파른 성장과 46-Series 가세, 확실한 턴어라운드 진입_20260504.pdf",2026-05-04_한화투자증권_LGES,1,5,N,P1,정량키워드,시장,EV|ESS,LG에너지솔루션|Tesla,JV,,유럽|중국,출하량|수요,출하량,%,수주·계약,13,대기
inbox,한화투자증권_LG에너지솔루션_미국 ESS와 유럽 IAA로 회복 가시성 증가_20260324.pdf,2026-03-24_한화투자증권_LGES,1,3,N,P1,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,,,미국|유럽|중국,출하량|수요|CAPA,출하량|CAPA,%|GWH,수주·계약,13,대기
inbox,흥국증권_삼성SDI_ESS 생산 체제 안정화_20260408.pdf,2026-04-08_흥국증권_삼성SDI,1,5,N,P1,정량키워드,시장,EV|ESS,삼성SDI,JV,,북미|미국|유럽|중국,판매량|수요|YoY,판매량,%,,13,대기
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,8,46,N,P1,정량키워드,시장·회사,ESS,LG에너지솔루션|Tesla,JV,,북미|미국,판매량|수요,판매량,GWH,,13,대기
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,11,46,N,P1,정량키워드,시장·회사,EV|ESS,삼성SDI,JV,,미국,판매량|수요|CAPA,판매량|CAPA,GWH,수주·계약,13,대기
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,30,46,N,P1,정량키워드,시장·회사,ESS,삼성SDI,JV,,,판매량|YoY|CAPA,판매량|CAPA,%|GWH,,13,대기
inbox,흥국증권_전자장비와기기_2025년 미리보기 전열 재정비(ft.4680 배터리 로드맵)_20250203.pdf,2025-02-03_흥국증권_산업,34,46,N,P1,정량키워드,시장,EV|ESS,삼성SDI,JV,,미국|유럽,수요|용량|CAPA,CAPA,%,수주·계약,13,대기
actuals,25_1Q_Script.pdf,,12,17,N,P3,정량키워드,시장,EV|ESS,,JV,Grid/Utility,북미|미국|중국,수요,,%,수주·계약,12,대기
actuals,25_2Q_Script.pdf,,16,23,N,P1,정량키워드,시장,EV|ESS,,JV,Grid/Utility,북미|미국|중국,수요,,%,,12,대기
actuals,25_3Q_Script.pdf,,5,22,N,P3,정량키워드,시장,EV|ESS,,JV,Grid/Utility,글로벌|북미|미국|유럽,수요,,GWH,수주·계약,12,대기
actuals,25_4Q_LGES_business_performance_F_KR.pdf,LGES,10,17,N,P1,정량키워드,시장,EV|ESS,,,데이터센터|Grid/Utility|상업·산업용(C&I)|UPS,글로벌|북미,설치량|수요|용량,,%|GWH,,12,채택
actuals,26_2Q_LGES_business_performance_F_KR.pdf,2026_2Q_LGES,9,16,N,P2,정량키워드,시장,EV|ESS,,JV,,북미|유럽,출하량|수요|YoY,출하량,%,수주·계약,12,대기
actuals,26_2Q_Script.pdf,2026_2Q_LGES,6,11,N,P2,정량키워드,시장,EV|ESS,,JV,,북미|미국|유럽|중국,출하량|수요|점유율|CAPA,출하량|CAPA,%,,12,대기
inbox,IBK투자증권_LG에너지솔루션_1Q26 잠정 실적 코멘트_20260408.pdf,2026-04-08_IBK투자증권_LGES,1,2,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,,,북미|유럽,판매량,판매량,%|GWH,,12,대기
inbox,"IBK투자증권_SK이노베이션_올해 1분기 영업이익, 2조원 상회_20260514.pdf",2026-05-14_IBK투자증권_SK온,1,4,N,P2,정량키워드,시장,EV,SK온,,,북미|유럽,판매량|수요,판매량,%,,12,대기
inbox,IBK투자증권_SK이노베이션_윤활기유가 이끈 어닝 서프라이즈_20260731.pdf,2026-07-31_IBK투자증권_SK온,2,4,N,P1,정량키워드,시장,EV,SK온,,상업·산업용(C&I),,생산량|생산능력|수요,생산량|생산능력,%,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,3,136,N,P2,정량키워드,시장,EV,LG에너지솔루션|CATL|Panasonic|Tesla,,,글로벌|북미|미국|유럽|중국|한국,판매량|출하량|수요|침투율|점유율|YoY,판매량|출하량,%,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,4,136,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic,,,글로벌|미국|유럽|중국,판매량|출하량|YoY,판매량|출하량,%|GWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,12,136,N,P2,정량키워드,시장,EV,BYD|Tesla,,,글로벌|북미|미국|유럽|중국,판매량|침투율|성장률|YoY,판매량,%|만대,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,13,136,N,P2,정량키워드,시장,EV,BYD|Tesla,,,중국,점유율|성장률|YoY,,%,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,14,136,N,P2,정량키워드,시장,EV,Tesla,,,미국|유럽|중국,판매량|점유율|성장률|YoY,판매량,%|만대,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,18,136,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic|Tesla,,,글로벌|중국|한국,판매량|출하량|점유율|YoY,판매량|출하량,%|GWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,23,136,N,P2,정량키워드,시장·회사,EV,CATL|Tesla,,,글로벌|중국,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,25,136,N,P2,정량키워드,시장·회사,EV,Panasonic|Tesla,,,글로벌|중국,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,27,136,N,P2,정량키워드,시장·회사,EV,SK온|CATL,,,글로벌|중국,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH|대,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,29,136,N,P2,정량키워드,시장·회사,EV,삼성SDI,,,글로벌|중국,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,34,136,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic|Tesla,,,글로벌|미국|유럽|중국,판매량|출하량|침투율|점유율|성장률|YoY,판매량|출하량,%|GWH|만대,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,40,136,N,P2,정량키워드,시장·회사,EV,Panasonic|Tesla,,,유럽,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,42,136,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|CATL,,,유럽,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH|대,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,44,136,N,P2,정량키워드,시장·회사,EV,삼성SDI,,,유럽,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,50,136,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|Tesla,,,북미,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,52,136,N,P2,정량키워드,시장·회사,EV,CATL|Tesla,,,북미|미국|중국,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,54,136,N,P2,정량키워드,시장·회사,EV,Panasonic|Tesla,,,북미,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,56,136,N,P2,정량키워드,시장·회사,EV,SK온|CATL,,,북미,판매량|출하량|YoY,판매량|출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,63,136,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic,,,글로벌|북미|유럽|중국,출하량|점유율|YoY,출하량,%|GWH|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,64,136,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic|Tesla,,,글로벌|유럽|중국,판매량|출하량|점유율|성장률|YoY,판매량|출하량,%|GWH|MWH|만대,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,66,136,N,P2,정량키워드,시장·회사,EV,CATL|Tesla,,,유럽|중국,판매량|출하량|점유율|YoY,판매량|출하량,%|MWH,,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,87,136,N,P2,정량키워드,회사,,,JV,,북미,출하량|CAPA,출하량|CAPA,%|GWH,,12,채택
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,104,136,N,P2,정량키워드,시장,EV,Tesla,JV,,,출하량|생산량|수요|YoY,출하량|생산량,%,수주·계약,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,112,136,N,P2,정량키워드,시장,EV,삼성SDI,,,북미|유럽,수요|침투율|YoY|CAPA,CAPA,%,수주·계약,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,122,136,N,P2,정량키워드,시장,EV,SK온,,,북미|중국|한국,수요|YoY|CAPA,CAPA,%,수주·계약,12,대기
inbox,IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,2023-09-12_IBK투자증권_산업,127,136,N,P2,정량키워드,시장,EV,삼성SDI,,,북미,YoY|CAPA,CAPA,%,수주·계약,12,대기
inbox,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,2024-02-26_IBK투자증권_산업,2,116,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|삼성SDI|CATL,,,글로벌|북미|미국|유럽|중국,판매량|출하량|생산능력|점유율|CAPA,판매량|출하량|생산능력|CAPA,GWH,,12,대기
inbox,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,2024-02-26_IBK투자증권_산업,8,116,N,P2,정량키워드,회사,,LG에너지솔루션|CATL|Panasonic|Tesla,JV,,북미|유럽,판매량|생산량|생산능력|CAPA,판매량|생산량|생산능력|CAPA,%|GWH|만대,,12,대기
inbox,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,2024-02-26_IBK투자증권_산업,105,116,N,P3,정량키워드,시장,EV,SK온,,,북미|유럽|중국|한국,수요|YoY,,%,수주·계약,12,대기
inbox,IBK투자증권_전자장비와기기_역대급 북미 배터리 설계사_20240226.pdf,2024-02-26_IBK투자증권_산업,109,116,N,P2,정량키워드,시장,EV,삼성SDI,,,북미|한국,출하량|수요|YoY|CAPA,출하량|CAPA,%,수주·계약,12,대기
inbox,KB증권_LG에너지솔루션_1~5월 국내 EV 판매 +122% YoY 급등은 긍정적_20260618.pdf,2026-06-18_KB증권_LGES,5,9,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic|Tesla,,,,판매량|판매대수|출하량|수요|침투율|점유율|성장률|YoY,판매량|출하량,%|GWH,,12,대기
inbox,KB증권_LG에너지솔루션_상반기 바닥 확인_20260730.pdf,2026-07-30_KB증권_LGES,3,8,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,,,미국,판매량,판매량,%|GWH,,12,대기
inbox,"KB증권_SK이노베이션_국내 EV 판매 호조로, 배터리 판매량 +5~10% 추가 예상_20260618.pdf",2026-06-18_KB증권_SK온,5,12,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic|Tesla,,,,판매량|판매대수|출하량|수요|침투율|점유율|성장률|YoY,판매량|출하량,%|GWH,,12,대기
inbox,"LS증권_LG에너지솔루션_1분기 잠정 실적 기대치 하회, 회계기준 변경_20260409.pdf",2026-04-09_LS증권_LGES,1,8,N,P2,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL,,,글로벌|북미|미국|유럽|중국,판매량|수요|성장률|YoY,판매량,%,,12,대기
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,2,18,N,P2,정량키워드,시장,EV,LG에너지솔루션|SK온|CATL|BYD|CALB,,,글로벌|미국|중국|한국,판매량|수요|성장률,판매량,%,,12,대기
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,4,18,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온|Panasonic|Tesla,,,글로벌|북미|유럽|중국,판매량,판매량,%|MWH,,12,대기
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,8,18,N,P1,정량키워드,시장,ESS,LG에너지솔루션|CATL|BYD|CALB,,데이터센터|상업·산업용(C&I),글로벌|미국|중국,수요,,%,,12,채택
inbox,LS증권_SK이노베이션_2Q26 Review_20260731.pdf,2026-07-31_LS증권_SK온,5,7,N,P2,정량키워드,시장·회사,EV,LG에너지솔루션|SK온,JV,,글로벌|북미|미국|유럽|중국|한국,CAPA,CAPA,GWH,,12,대기
inbox,LS증권_SK이노베이션_업데이트 노트_20260615.pdf,2026-06-15_LS증권_SK온,3,17,N,P2,정량키워드,시장,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic|CALB,,,글로벌|미국|중국,판매량|수요|성장률,판매량,%,,12,대기
inbox,LS증권_SK이노베이션_업데이트 노트_20260615.pdf,2026-06-15_LS증권_SK온,6,17,N,P2,정량키워드,시장,EV,SK온,,,글로벌,용량,,%|GWH,,12,대기
inbox,"LS증권_SK이노베이션_파우치 Only 부메랑, WACC보다 낮은 ROIC_20260629.pdf",2026-06-29_LS증권_SK온,1,16,N,P2,정량키워드,시장,EV,SK온,,,글로벌,YoY|CAPA,CAPA,%,,12,대기
inbox,"LS증권_SK이노베이션_파우치 Only 부메랑, WACC보다 낮은 ROIC_20260629.pdf",2026-06-29_LS증권_SK온,4,16,N,P2,정량키워드,시장,EV,LG에너지솔루션|SK온|CATL|BYD|Panasonic|CALB,,,글로벌|미국|중국,판매량|수요|성장률,판매량,%,,12,대기
inbox,"LS증권_삼성SDI_4월 EV향 data, 역성장 지속 우려_20260605.pdf",2026-06-05_LS증권_삼성SDI,5,14,N,P2,정량키워드,시장,EV,삼성SDI|CATL|Tesla,,,글로벌|북미|유럽|중국,판매량|수요,판매량,%,수주·계약,12,대기
inbox,"LS증권_삼성SDI_4월 EV향 data, 역성장 지속 우려_20260605.pdf",2026-06-05_LS증권_삼성SDI,7,14,N,P2,정량키워드,시장,EV,삼성SDI|CATL,,,중국,용량,,%|MWH,,12,대기
inbox,"LS증권_삼성SDI_4월 EV향 data, 역성장 지속 우려_20260605.pdf",2026-06-05_LS증권_삼성SDI,10,14,N,P2,정량키워드,시장,EV|ESS,삼성SDI,,,미국|유럽|중국,판매량|CAPA,판매량|CAPA,%,,12,대기
inbox,NH투자증권_LG에너지솔루션_1Q26 실적 저점 확인_20260408.pdf,2026-04-08_NH투자증권_LGES,1,9,N,P2,정량키워드,시장,EV|ESS,LG에너지솔루션|Tesla,JV,,북미|유럽|중국|한국,CAPA,CAPA,%,,12,대기
inbox,NH투자증권_LG에너지솔루션_1Q26 실적 저점 확인_20260408.pdf,2026-04-08_NH투자증권_LGES,2,9,N,P2,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL|BYD|Panasonic,,,글로벌,수요|점유율,,%,,12,대기
inbox,NH투자증권_LG에너지솔루션_1Q26 실적 저점 확인_20260408.pdf,2026-04-08_NH투자증권_LGES,6,9,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,미국|중국|한국,생산능력,생산능력,GWH,,12,대기
inbox,NH투자증권_LG에너지솔루션_명확한 회복세_20260731.pdf,2026-07-31_NH투자증권_LGES,1,10,N,P2,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL|Tesla,,,미국|유럽|한국,수요,,%|대,,12,대기
inbox,NH투자증권_LG에너지솔루션_명확한 회복세_20260731.pdf,2026-07-31_NH투자증권_LGES,2,10,N,P2,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL|BYD|Panasonic,,,글로벌,수요|점유율,,%,,12,대기
inbox,NH투자증권_LG에너지솔루션_명확한 회복세_20260731.pdf,2026-07-31_NH투자증권_LGES,4,10,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,,,미국|유럽|중국,판매량|용량,판매량,GW,,12,대기
inbox,NH투자증권_LG에너지솔루션_명확한 회복세_20260731.pdf,2026-07-31_NH투자증권_LGES,7,10,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,미국|중국|한국,생산능력,생산능력,GWH,,12,대기
inbox,NH투자증권_LG에너지솔루션_점진적인 개선세_20260625.pdf,2026-06-25_NH투자증권_LGES,2,9,N,P2,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL|BYD|Panasonic,,,글로벌,수요|점유율,,%,,12,대기
inbox,NH투자증권_LG에너지솔루션_점진적인 개선세_20260625.pdf,2026-06-25_NH투자증권_LGES,4,9,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,,,미국|유럽|중국,판매량|용량,판매량,%|GW,,12,대기
inbox,NH투자증권_LG에너지솔루션_점진적인 개선세_20260625.pdf,2026-06-25_NH투자증권_LGES,7,9,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,미국|중국|한국,생산능력,생산능력,GWH,,12,대기
inbox,NH투자증권_LG에너지솔루션_테슬라 유럽 판매 회복에 대비할 필요_20260323.pdf,2026-03-23_NH투자증권_LGES,2,9,N,P2,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL|BYD|Panasonic,,,글로벌,수요|점유율,,%,,12,대기
inbox,NH투자증권_LG에너지솔루션_테슬라 유럽 판매 회복에 대비할 필요_20260323.pdf,2026-03-23_NH투자증권_LGES,6,9,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션,JV,,미국|중국|한국,생산능력,생산능력,GWH,,12,대기
inbox,NH투자증권_LG에너지솔루션_하반기부터 질적 개선_20260504.pdf,2026-05-04_NH투자증권_LGES,2,9,N,P2,정량키워드,시장,EV|ESS,LG에너지솔루션|CATL|BYD|Panasonic,,,글로벌,수요|점유율,,%,,12,대기
inbox,NH투자증권_LG에너지솔루션_하반기부터 질적 개선_20260504.pdf,2026-05-04_NH투자증권_LGES,6,9,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|Tesla,JV,,미국|중국|한국,생산능력,생산능력,GWH,,12,대기
inbox,NH투자증권_삼성SDI_7분기만에 흑자전환 성공_20260731.pdf,2026-07-31_NH투자증권_삼성SDI,6,9,N,P2,정량키워드,시장·회사,ESS,삼성SDI,,,미국,판매량|출하량|CAPA,판매량|출하량|CAPA,GWH,,12,대기
inbox,NH투자증권_삼성SDI_릴레이 수주_20260625.pdf,2026-06-25_NH투자증권_삼성SDI,6,8,N,P2,정량키워드,시장·회사,ESS,삼성SDI,,,미국,판매량|출하량|CAPA,판매량|출하량|CAPA,GWH,,12,대기
inbox,"SK증권_전자장비와기기_K-배터리, 네 가지 위기와 미래 승부수_20250610.pdf",2025-06-10_SK증권_산업,31,64,N,P2,정량키워드,시장,EV,LG에너지솔루션|삼성SDI|SK온,,,미국,판매량|출하량|성장률|YoY,판매량|출하량,%,,12,대기
inbox,SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,2023-05-23_SK증권_산업,10,142,N,P2,정량키워드,시장·회사,EV|ESS,LG에너지솔루션|삼성SDI|SK온,,,미국|중국|한국,출하량|수요|용량,출하량,%|GWH,,12,대기
inbox,SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,2023-05-23_SK증권_산업,13,142,N,P3,정량키워드,시장,EV,LG에너지솔루션|삼성SDI,JV,,한국,성장률,,%,수주·계약,12,대기
inbox,SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,2023-05-23_SK증권_산업,21,142,N,P2,정량키워드,시장,EV,LG에너지솔루션|삼성SDI|SK온,,,글로벌,출하량|성장률,출하량,%,,12,대기
inbox,SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,2023-05-23_SK증권_산업,35,142,N,P2,정량키워드,회사,,LG에너지솔루션|삼성SDI|SK온,JV,,북미,캐파|CAPA,캐파|CAPA,%|GWH,수주·계약,12,대기
